,PRVDR_NUM,FY_END_DT,HMO,TOT_HOSP,LAB_DEL_DAYS,TOT_HOSP,MED_UTIL,SSI_PER,CST_TO_CHG,MED_CHG,MED_CST,CHAR_CHG,CHAR_CST,TOT_UNR_UNC,URBAN_RURAL,STATES,DSH_PAT_PER
0,104075,12/31/2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Florida,0.0
2,514011,09/30/2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,West Virginia,0.0
3,191318,09/30/2014,328.0,0.0,0.0,4358.0,0.0752638825149151,0.0,0.316534,8141053.0,2576920.0,0.0,0.0,1827831.0,2.0,Louisiana,0.0752638825149151
4,660001,09/30/2014,0.0,0.0,0.0,19017.0,0.0,0.0,1797.0448,0.0,0.0,0.0,0.0,-1797.0,2.0,Commonwealth of the Northern Marianas Islands ,0.0
5,341317,09/30/2014,50.0,180.0,0.0,6514.0,0.03530856616518269,0.0,0.52422,1262088.0,661612.0,533403.0,279355.0,234343.0,1.0,North Carolina,0.03530856616518269
6,341323,09/30/2014,586.0,0.0,0.0,5233.0,0.11198165488247659,0.0,0.408633,6376320.0,2605575.0,866883.0,354237.0,2752148.0,2.0,North Carolina,0.11198165488247659
7,341315,09/30/2014,1173.0,0.0,79.0,3936.0,0.31808943089430897,0.0,0.339276,0.0,0.0,0.0,0.0,-183622.0,2.0,North Carolina,0.31808943089430897
8,431317,06/30/2014,5.0,0.0,0.0,190.0,0.02631578947368421,0.0,0.895834,66223.0,59325.0,0.0,0.0,19383.0,2.0,South Dakota,0.02631578947368421
10,251335,12/31/2014,21.0,5.0,0.0,2663.0,0.00976342470897484,0.0,0.673727,1083309.0,729855.0,801481.0,534752.0,2304757.0,2.0,Mississippi,0.00976342470897484
11,342019,12/31/2014,164.0,0.0,0.0,5601.0,0.029280485627566508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,North Carolina,0.029280485627566508
