,PRVDR_NUM,FY_END_DT,HMO,TOT_HOSP,LAB_DEL_DAYS,TOT_HOSP,MED_UTIL,SSI_PER,CST_TO_CHG,MED_CHG,MED_CST,CHAR_CHG,CHAR_CST,TOT_UNR_UNC,URBAN_RURAL,STATES,DSH_PAT_PER
0,364050,12/31/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ohio,0.0
2,111310,12/31/2012,0.0,24.0,0.0,669.0,0.03587443946188341,0.0,0.415843,299000.0,124337.0,316309.0,131535.0,367174.0,2.0,Georgia,0.03587443946188341
4,131311,03/31/2013,0.0,236.0,24.0,1289.0,0.2017067494181536,0.0,0.570042,3327301.0,1896701.0,785727.0,308291.0,1552821.0,2.0,Idaho,0.2017067494181536
6,132002,05/31/2013,0.0,28.0,0.0,2793.0,0.010025062656641603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Idaho,0.010025062656641603
9,452063,05/30/2013,0.0,0.0,0.0,8931.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Texas,0.0
12,511306,09/30/2013,20.0,77.0,0.0,2877.0,0.033715676051442475,0.0,0.49903,7617626.0,3801424.0,2159755.0,1077783.0,1996541.0,2.0,West Virginia,0.033715676051442475
13,251334,09/30/2013,8.0,44.0,0.0,1594.0,0.03262233375156838,0.0,0.75049,1116122.0,837638.0,62555.0,46879.0,1561306.0,2.0,Mississippi,0.03262233375156838
14,251313,09/30/2013,0.0,415.0,0.0,4896.0,0.08476307189542484,0.0,0.440935,5324091.0,2347578.0,143888.0,63445.0,2965976.0,2.0,Mississippi,0.08476307189542484
15,341304,09/30/2013,0.0,93.0,0.0,1668.0,0.05575539568345324,0.0,0.45786,4680685.0,2143098.0,2288161.0,667063.0,1982673.0,2.0,North Carolina,0.05575539568345324
16,341318,09/30/2013,0.0,1365.0,0.0,6025.0,0.22655601659751037,0.0,0.358309,5906645.0,2116404.0,6406495.0,1065044.0,2267728.0,2.0,North Carolina,0.22655601659751037
17,341317,09/30/2013,20.0,5.0,0.0,1281.0,0.0195160031225605,0.0,0.544353,138098.0,75174.0,54931.0,29817.0,767883.0,1.0,North Carolina,0.0195160031225605
18,363304,12/31/2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ohio,0.0
19,314021,12/31/2013,0.0,3196.0,0.0,37147.0,0.0860365574608986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,New Jersey,0.0860365574608986
20,42008,12/31/2012,0.0,0.0,0.0,622.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Arkansas,0.0
23,251335,12/31/2013,3.0,23.0,0.0,2450.0,0.010612244897959184,0.0,0.784446,753549.0,591118.0,1238278.0,958967.0,1632856.0,2.0,Mississippi,0.010612244897959184
24,344028,12/31/2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North Carolina,0.0
25,344030,12/31/2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North Carolina,0.0
26,92002,12/31/2013,0.0,3038.0,0.0,16243.0,0.18703441482484762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,District of Columbia,0.18703441482484762
27,92003,12/31/2013,0.0,6028.0,0.0,17228.0,0.349895518922684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,District of Columbia,0.349895518922684
28,423300,12/31/2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,South Carolina,0.0
29,263304,12/31/2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Missouri,0.0
30,511303,12/31/2013,8.0,84.0,0.0,1425.0,0.06456140350877193,0.0,0.830957,4684501.0,3892619.0,1113360.0,921566.0,2590139.0,2.0,West Virginia,0.06456140350877193
31,251302,12/31/2013,0.0,18.0,0.0,3395.0,0.005301914580265096,0.0,0.645714,2681088.0,1731216.0,265154.0,170438.0,1703603.0,2.0,Mississippi,0.005301914580265096
32,251332,12/31/2013,0.0,433.0,0.0,3614.0,0.11981184283342557,0.0,0.525795,3516746.0,1849087.0,131111.0,68860.0,937845.0,2.0,Mississippi,0.11981184283342557
33,344029,12/31/2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North Carolina,0.0
34,491306,12/31/2013,102.0,10.0,0.0,3093.0,0.036210798577432916,0.0,0.554776,396013.0,219699.0,310049.0,170704.0,1576406.0,2.0,Virginia,0.036210798577432916
35,511311,12/31/2013,0.0,52.0,0.0,2962.0,0.017555705604321403,0.0,0.652155,6075330.0,3962057.0,2923782.0,1906759.0,4284043.0,2.0,West Virginia,0.017555705604321403
36,511318,12/31/2013,0.0,163.0,0.0,4096.0,0.039794921875,0.0,0.47006,7621290.0,3582464.0,202196.0,95044.0,1932289.0,1.0,West Virginia,0.039794921875
37,670045,12/31/2013,0.0,0.0,0.0,13.0,0.0,0.0,0.360597,2835163.0,1022351.0,240146.0,84700.0,4911392.0,1.0,Texas,0.0
38,364045,12/31/2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ohio,0.0
39,103303,12/31/2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Florida,0.0
40,244016,12/31/2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Minnesota,0.0
41,210062,06/30/2013,0.0,6379.0,0.0,34098.0,0.1870784210217608,0.0764,0.76139,11940752.0,9091569.0,851540.0,648354.0,7615857.0,1.0,Maryland,0.2634784210217608
43,210063,06/30/2013,2367.0,1214.0,0.0,34394.0,0.10411699715066582,0.0,0.826457,6202486.0,5126088.0,4327437.0,3575065.0,8172169.0,1.0,Maryland,0.10411699715066582
45,193301,12/31/2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Louisiana,0.0
46,143302,12/31/2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Illinois,0.0
47,243303,12/31/2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Minnesota,0.0
48,330387,12/31/2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New York,0.0
49,364048,12/31/2012,0.0,66.0,0.0,1436.0,0.04596100278551532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Ohio,0.04596100278551532
51,223303,12/31/2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Massachusetts,0.0
52,223304,12/31/2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Massachusetts,0.0
