,PRVDR_NUM,FY_END_DT,HMO,TOT_HOSP,LAB_DEL_DAYS,TOT_HOSP,MED_UTIL,SSI_PER,CST_TO_CHG,MED_CHG,MED_CST,CHAR_CHG,CHAR_CST,TOT_UNR_UNC,URBAN_RURAL,STATES,DSH_PAT_PER
0,454148,12/31/2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Texas,0.0
2,673073,12/31/2019,0.0,0.0,0.0,714.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Texas,0.0
4,251333,01/31/2020,0.0,0.0,0.0,1192.0,0.0,0.0,0.563911,2306708.0,1300778.0,5352.0,3494.0,453364.0,2.0,Mississippi,0.0
6,113029,12/31/2019,0.0,0.0,0.0,4031.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Georgia,0.0
8,361326,12/31/2019,0.0,22.0,0.0,1071.0,0.02054154995331466,0.0,0.341316,4873704.0,1663473.0,193287.0,65972.0,1985031.0,2.0,Ohio,0.02054154995331466
10,673074,12/31/2019,0.0,0.0,0.0,474.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Texas,0.0
12,210060,12/31/2019,0.0,78.0,0.0,1076.0,0.0724907063197026,0.0,0.838083,823239.0,689943.0,0.0,0.0,221243.0,1.0,Maryland,0.0724907063197026
14,10109,03/06/2020,0.0,265.0,0.0,823.0,0.3219927095990279,0.2152,0.507873,10.0,5.0,10.0,5.0,46642.0,2.0,Alabama,0.5371927095990279
15,450730,02/29/2020,265.0,108.0,0.0,6672.0,0.0559052757793765,0.098,0.202861,9324093.0,1891495.0,18870197.0,4437881.0,6993416.0,1.0,Texas,0.15390527577937652
17,241306,04/30/2020,18.0,14.0,0.0,359.0,0.08913649025069638,0.0,0.684861,2716163.0,1860194.0,24393.0,21934.0,718100.0,2.0,Minnesota,0.08913649025069638
19,300014,02/29/2020,751.0,143.0,0.0,5310.0,0.16836158192090395,0.0441,0.37558,17034461.0,6397803.0,2479023.0,1814407.0,5788020.0,1.0,New Hampshire,0.21246158192090395
21,371318,03/19/2020,0.0,0.0,0.0,846.0,0.0,0.0,0.784732,0.0,0.0,0.0,0.0,0.0,1.0,Oklahoma,0.0
23,10008,03/30/2020,0.0,16.0,0.0,357.0,0.04481792717086835,0.1319,0.288474,1746927.0,503943.0,0.0,0.0,49111.0,2.0,Alabama,0.17671792717086834
25,420110,12/31/2019,184.0,47.0,0.0,1200.0,0.1925,0.0289,0.300759,3618651.0,1088342.0,169387.0,50590.0,706837.0,1.0,South Carolina,0.2214
27,111337,06/30/2020,37.0,29.0,0.0,1905.0,0.03464566929133858,0.0,0.476345,1267786.0,603904.0,345728.0,182306.0,595145.0,2.0,Georgia,0.03464566929133858
29,390321,06/30/2020,28.0,11.0,0.0,537.0,0.07262569832402235,0.0,0.369788,4003767.0,1480545.0,0.0,0.0,1031901.0,1.0,Pennsylvania,0.07262569832402235
31,360170,06/30/2020,488.0,249.0,0.0,2850.0,0.25859649122807016,0.0744,0.382848,18683498.0,7152940.0,1440965.0,850518.0,6549511.0,1.0,Ohio,0.3329964912280702
32,673040,07/01/2020,0.0,0.0,0.0,3339.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Texas,0.0
33,171373,06/30/2020,42.0,20.0,2.0,837.0,0.07646356033452807,0.0,0.500445,2408998.0,1205571.0,164947.0,82547.0,1235303.0,2.0,Kansas,0.07646356033452807
35,100026,06/30/2020,1490.0,829.0,0.0,17408.0,0.13321461397058823,0.0807,0.161158,43099705.0,6945862.0,69825526.0,11296998.0,20093582.0,2.0,Florida,0.21391461397058822
37,170203,06/30/2020,0.0,0.0,0.0,733.0,0.0,0.0,0.272652,45452.0,12393.0,0.0,0.0,12393.0,2.0,Kansas,0.0
39,454128,06/30/2020,0.0,0.0,0.0,4830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Texas,0.0
41,454125,06/30/2020,0.0,4318.0,0.0,7307.0,0.5909401943342001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Texas,0.5909401943342001
42,140127,06/30/2020,1931.0,1275.0,67.0,13614.0,0.24041427941824592,0.0454,0.337007,36311579.0,12237256.0,3453375.0,1353460.0,8781645.0,1.0,Illinois,0.28581427941824594
44,330151,06/30/2020,113.0,10.0,0.0,1235.0,0.09959514170040486,0.0731,0.490804,7905529.0,3880065.0,186870.0,113534.0,2118436.0,2.0,New York,0.17269514170040484
46,330238,06/30/2020,524.0,186.0,30.0,3362.0,0.2201070791195717,0.0679,0.376845,9058580.0,3413681.0,875762.0,566446.0,1032770.0,1.0,New York,0.2880070791195717
48,450347,06/30/2020,719.0,0.0,31.0,6345.0,0.1182033096926714,0.0751,0.221864,8999203.0,1996599.0,19069207.0,4526482.0,7413408.0,2.0,Texas,0.1933033096926714
50,41323,09/30/2020,0.0,396.0,10.0,3469.0,0.11703660997405592,0.0,0.514939,6770012.0,3486143.0,453710.0,233633.0,1722566.0,2.0,Arkansas,0.11703660997405592
51,141346,06/30/2020,23.0,5.0,0.0,1848.0,0.015151515151515152,0.0,0.420275,4203139.0,1766474.0,234068.0,98373.0,1560366.0,2.0,Illinois,0.015151515151515152
53,371335,05/14/2020,0.0,0.0,0.0,100.0,0.0,0.0,5.034495,908316.0,4572912.0,0.0,0.0,4326724.0,2.0,Oklahoma,0.0
55,50189,06/24/2020,405.0,324.0,0.0,1381.0,0.5278783490224475,0.0,0.273073,62066307.0,16948633.0,63288.0,21157.0,3031369.0,1.0,California,0.5278783490224475
56,51337,06/30/2020,0.0,0.0,0.0,1148.0,0.0,0.0,0.417036,25010536.0,10430294.0,444221.0,339105.0,2720204.0,1.0,California,0.0
58,134009,06/30/2020,56.0,1177.0,0.0,2169.0,0.5684647302904564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Idaho,0.5684647302904564
59,141309,06/30/2020,0.0,0.0,0.0,660.0,0.0,0.0,0.775788,1345450.0,1043784.0,143706.0,116587.0,763715.0,1.0,Illinois,0.0
61,231328,06/30/2020,73.0,10.0,0.0,619.0,0.13408723747980614,0.0,0.695205,6282665.0,4367740.0,0.0,0.0,3551056.0,2.0,Michigan,0.13408723747980614
63,420067,09/30/2020,6050.0,1967.0,45.0,32365.0,0.24909624594469335,0.0699,0.230486,77123696.0,17775932.0,5156149.0,2532096.0,10395836.0,2.0,South Carolina,0.31899624594469334
64,171318,06/30/2020,37.0,0.0,0.0,488.0,0.07581967213114754,0.0,0.904763,515116.0,466058.0,2292.0,2159.0,519892.0,2.0,Kansas,0.07581967213114754
66,371301,05/03/2020,0.0,13.0,0.0,1925.0,0.006753246753246753,0.0,0.524961,999664.0,524785.0,0.0,0.0,389514.0,2.0,Oklahoma,0.006753246753246753
68,390332,06/30/2020,358.0,92.0,0.0,4715.0,0.09544008483563096,0.1035,0.260905,16738148.0,4367067.0,3311208.0,867217.0,4060514.0,2.0,Pennsylvania,0.19894008483563097
70,241350,07/31/2020,145.0,83.0,0.0,1813.0,0.12575841147269717,0.0,0.636882,8412612.0,5357841.0,135363.0,123684.0,2678125.0,2.0,Minnesota,0.12575841147269717
72,454130,06/30/2020,0.0,0.0,0.0,6554.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Texas,0.0
74,670143,06/30/2020,0.0,0.0,0.0,230.0,0.0,0.0,0.173057,4000437.0,692304.0,0.0,0.0,735002.0,1.0,Texas,0.0
76,190086,06/30/2020,0.0,3788.0,0.0,11756.0,0.3222184416468186,0.1065,0.122022,85328245.0,10411923.0,2874804.0,362896.0,5599066.0,2.0,Louisiana,0.4287184416468186
78,490005,09/30/2020,12416.0,23654.0,0.0,108640.0,0.3320139911634757,0.0416,0.347708,194163401.0,67512168.0,15760864.0,8090265.0,35689555.0,1.0,Virginia,0.3736139911634757
79,420049,09/30/2020,5760.0,3015.0,405.0,38690.0,0.23727061256138537,0.0608,0.247799,93092412.0,23068207.0,22277033.0,6192521.0,17928316.0,1.0,South Carolina,0.2980706125613854
80,14012,09/30/2020,0.0,12928.0,0.0,31070.0,0.4160926939169617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Alabama,0.4160926939169617
81,140015,09/30/2020,11680.0,1561.0,107.0,55253.0,0.24157964273433116,0.0473,0.186785,259862389.0,48538396.0,30686524.0,14396882.0,18384989.0,2.0,Illinois,0.28887964273433114
82,110107,12/31/2019,7354.0,4881.0,159.0,47558.0,0.26060809958366626,0.1031,0.207088,131044223.0,27137686.0,84504302.0,38228678.0,40502431.0,1.0,Georgia,0.36370809958366623
84,111310,12/31/2019,0.0,101.0,0.0,1727.0,0.05848291835552982,0.0,0.311973,0.0,0.0,0.0,0.0,316143.0,1.0,Georgia,0.05848291835552982
86,713025,08/31/2020,470.0,0.0,0.0,6873.0,0.06838352975411029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Louisiana,0.06838352975411029
87,60054,12/31/2020,1455.0,691.0,533.0,7257.0,0.36916081025217035,0.0295,0.226464,146162268.0,33100492.0,3939264.0,1526193.0,14569903.0,1.0,Colorado,0.3986608102521704
88,171328,09/30/2020,3.0,0.0,0.0,5383.0,0.0005573100501579045,0.0,1.243736,218392.0,271622.0,110025.0,71271.0,271891.0,2.0,Kansas,0.0005573100501579045
89,181332,07/31/2020,137.0,17.0,0.0,1977.0,0.07789580171977745,0.0,0.237088,11435922.0,2711320.0,356659.0,56499.0,222199.0,2.0,Kentucky,0.07789580171977745
90,444029,07/31/2020,0.0,0.0,0.0,2133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Tennessee,0.0
92,140197,06/30/2020,4928.0,801.0,0.0,9473.0,0.6047714557162461,0.1688,0.929818,9097879.0,8459372.0,73828.0,69067.0,2944225.0,1.0,Illinois,0.7735714557162461
