,PRVDR_NUM,FY_END_DT,HMO,TOT_HOSP,LAB_DEL_DAYS,TOT_HOSP,MED_UTIL,SSI_PER,CST_TO_CHG,MED_CHG,MED_CST,CHAR_CHG,CHAR_CST,TOT_UNR_UNC,URBAN_RURAL,STATES,DSH_PAT_PER
0,310050,12/31/2015,1007.0,2768.0,0.0,14550.0,0.25945017182130586,0.0373,0.226854,14023081.0,3181192.0,6329888.0,1432135.0,2503753.0,1.0,New Jersey,0.29675017182130586
2,670110,12/31/2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Texas,0.0
4,174020,12/31/2015,16.0,0.0,0.0,968.0,0.01652892561983471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Kansas,0.01652892561983471
6,224042,06/30/2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Massachusetts,0.0
8,224041,12/31/2015,0.0,0.0,0.0,3827.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Massachusetts,0.0
10,41327,09/30/2016,0.0,252.0,0.0,2912.0,0.08653846153846154,0.0,0.463701,4176704.0,1936742.0,659567.0,305842.0,706182.0,2.0,Arkansas,0.08653846153846154
11,361319,09/30/2016,194.0,88.0,0.0,3587.0,0.07861722888207416,0.0,0.417193,14234743.0,5938635.0,504974.0,193102.0,2631998.0,2.0,Ohio,0.07861722888207416
12,100090,09/30/2016,0.0,3127.0,0.0,65678.0,0.04761107220073693,6.84,0.212482,111308766.0,23651109.0,38207045.0,8101719.0,26751700.0,2.0,Florida,6.887611072200737
13,251333,09/30/2016,0.0,0.0,0.0,2775.0,0.0,0.0,0.636029,1777051.0,1130256.0,216733.0,127848.0,1550794.0,2.0,Mississippi,0.0
14,471304,09/30/2016,0.0,1004.0,34.0,5883.0,0.17644059153493116,0.0,0.395658,31709460.0,12546102.0,4652691.0,1839834.0,3653860.0,2.0,Vermont,0.17644059153493116
15,131322,09/30/2016,0.0,186.0,56.0,3248.0,0.07450738916256158,0.0,0.637919,4546608.0,2900368.0,0.0,0.0,570622.0,2.0,Idaho,0.07450738916256158
