,PRVDR_NUM,FY_END_DT,HMO,TOT_HOSP,LAB_DEL_DAYS,TOT_HOSP,MED_UTIL,SSI_PER,CST_TO_CHG,MED_CHG,MED_CST,CHAR_CHG,CHAR_CST,TOT_UNR_UNC,URBAN_RURAL,STATES,DSH_PAT_PER
70,330175,06/30/2019,216.0,838.0,19.0,5948.0,0.1803967720242098,0.084,0.3848,23534513.0,9056081.0,669559.0,285837.0,4927977.0,2.0,New York,0.2643967720242098
72,140049,04/30/2019,510.0,2177.0,55.0,6863.0,0.3995337316042547,0.1328,0.133473,73782466.0,9847967.0,10036986.0,1421363.0,6126587.0,1.0,Illinois,0.5323337316042547
74,330096,06/30/2019,90.0,861.0,0.0,3742.0,0.2541421699625869,0.0695,0.354141,11981523.0,4243149.0,173333.0,65542.0,496451.0,2.0,New York,0.3236421699625869
76,450032,06/30/2019,1586.0,8758.0,280.0,50440.0,0.2106264869151467,0.0908,0.141784,218579269.0,30991043.0,182193030.0,28359171.0,46697300.0,1.0,Texas,0.30142648691514673
78,453052,07/31/2019,0.0,64.0,0.0,6176.0,0.010362694300518135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Texas,0.010362694300518135
79,21303,07/31/2019,0.0,0.0,0.0,0.0,0.0,0.0,1.320427,518232.0,684288.0,0.0,0.0,251237.0,2.0,Alaska,0.0
80,450653,04/12/2019,56.0,245.0,0.0,1830.0,0.1644808743169399,0.0631,0.164039,0.0,0.0,279142.0,102099.0,1142725.0,2.0,Texas,0.2275808743169399
82,670087,06/30/2019,0.0,0.0,0.0,4.0,0.0,0.0,0.257723,909270.0,234340.0,58220.0,14997.0,195413.0,1.0,Texas,0.0
83,41323,09/30/2019,352.0,0.0,10.0,4061.0,0.08914060576212755,0.0,0.434218,7207032.0,3129423.0,649649.0,282089.0,1646662.0,2.0,Arkansas,0.08914060576212755
84,181302,09/30/2019,0.0,0.0,0.0,3798.0,0.0,0.0,0.369983,14137152.0,5230506.0,289701.0,107184.0,2330313.0,2.0,Kentucky,0.0
85,181315,09/30/2019,0.0,0.0,0.0,4620.0,0.0,0.0,0.323997,11140392.0,3609454.0,595196.0,192842.0,1098880.0,2.0,Kentucky,0.0
86,341319,01/31/2019,146.0,0.0,0.0,1794.0,0.08138238573021182,0.0,0.299001,5941780.0,1776598.0,2292273.0,1138407.0,2487568.0,2.0,North Carolina,0.08138238573021182
88,341326,01/31/2019,91.0,0.0,0.0,2127.0,0.04278326281147156,0.0,0.269427,5908103.0,1591802.0,2473790.0,1146792.0,2143933.0,2.0,North Carolina,0.04278326281147156
90,161324,09/30/2019,0.0,14.0,0.0,846.0,0.016548463356973995,0.0,0.653984,1996749.0,1305842.0,428972.0,417601.0,937249.0,2.0,Iowa,0.016548463356973995
91,204008,06/30/2019,55.0,0.0,0.0,11250.0,0.004888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Maine,0.004888888888888889
93,341329,01/31/2019,102.0,0.0,0.0,1608.0,0.06343283582089553,0.0,0.299304,5286750.0,1582345.0,1392370.0,728377.0,1868371.0,2.0,North Carolina,0.06343283582089553
95,421302,12/18/2018,0.0,0.0,0.0,0.0,0.0,0.0,0.893486,51496.0,46011.0,130725.0,116801.0,130995.0,1.0,South Carolina,0.0
