,PRVDR_NUM,FY_END_DT,HMO,TOT_HOSP,LAB_DEL_DAYS,TOT_HOSP,MED_UTIL,SSI_PER,CST_TO_CHG,MED_CHG,MED_CST,CHAR_CHG,CHAR_CST,TOT_UNR_UNC,URBAN_RURAL,STATES,DSH_PAT_PER
0,10032,11/13/2017,7.0,0.0,0.0,63.0,0.1111111111111111,0.0905,0.492667,283713.0,139776.0,10755.0,6614.0,260140.0,2.0,Alabama,0.2016111111111111
3,440235,12/31/2017,0.0,79.0,0.0,431.0,0.18329466357308585,0.0,0.304565,0.0,0.0,0.0,0.0,152458.0,2.0,Tennessee,0.18329466357308585
5,50523,02/28/2018,0.0,1500.0,0.0,5281.0,0.2840371141829199,0.1199,0.208266,46484929.0,9681230.0,2539995.0,559919.0,1649925.0,1.0,California,0.4039371141829199
7,50305,02/28/2018,0.0,3224.0,0.0,10662.0,0.3023822922528606,0.1253,0.328278,80317659.0,26366520.0,2118901.0,733141.0,14922893.0,1.0,California,0.4276822922528606
9,50043,02/28/2018,0.0,1859.0,0.0,9483.0,0.1960350100179268,0.2143,0.209943,74809398.0,15705709.0,2275298.0,522559.0,4613634.0,1.0,California,0.4103350100179268
11,340060,12/31/2017,360.0,205.0,0.0,2544.0,0.22209119496855345,0.0764,0.360385,6322555.0,2278554.0,1640215.0,646791.0,2990348.0,1.0,North Carolina,0.2984911949685535
14,450083,02/28/2018,439.0,3862.0,0.0,36025.0,0.11938931297709923,0.0759,0.11655,74395381.0,8670782.0,56677280.0,12595810.0,16412851.0,1.0,Texas,0.19528931297709923
16,450194,02/28/2018,92.0,449.0,0.0,1405.0,0.3850533807829182,0.0633,0.177683,13120916.0,2331364.0,1563429.0,534083.0,973516.0,2.0,Texas,0.4483533807829182
18,450475,02/28/2018,0.0,840.0,0.0,1720.0,0.4883720930232558,0.0882,0.156038,8196425.0,1278954.0,1575990.0,220702.0,825584.0,1.0,Texas,0.5765720930232558
20,370093,06/30/2018,33353.0,974.0,1130.0,84023.0,0.42199159753876914,0.0978,0.138126,673681240.0,93052895.0,293597601.0,41881083.0,47079599.0,1.0,Oklahoma,0.5197915975387691
22,251302,12/31/2017,58.0,0.0,0.0,881.0,0.06583427922814983,0.0,0.68008,0.0,0.0,0.0,0.0,0.0,2.0,Mississippi,0.06583427922814983
24,440072,05/31/2018,879.0,0.0,0.0,5672.0,0.15497179125528915,0.1156,0.068598,51987528.0,3566240.0,15765959.0,1082468.0,2048333.0,2.0,Tennessee,0.27057179125528913
