,PRVDR_NUM,FY_END_DT,HMO,TOT_HOSP,LAB_DEL_DAYS,TOT_HOSP,MED_UTIL,SSI_PER,CST_TO_CHG,MED_CHG,MED_CST,CHAR_CHG,CHAR_CST,TOT_UNR_UNC,URBAN_RURAL,STATES,DSH_PAT_PER
0,341317,01/30/2017,0.0,15.0,0.0,854.0,0.01756440281030445,0.0,1.154767,801800.0,925892.0,3575.0,4128.0,1721869.0,1.0,North Carolina,0.01756440281030445
2,50770,06/30/2017,0.0,650.0,42.0,14169.0,0.04883901475051168,0.0611,0.174366,0.0,0.0,0.0,0.0,35268.0,1.0,California,0.10993901475051168
4,50778,06/30/2017,6422.0,22955.0,378.0,41028.0,0.7252364239056254,0.1892,0.168573,597284846.0,100686098.0,1522753.0,276025.0,2154437.0,1.0,California,0.9144364239056254
6,110074,06/30/2017,8075.0,6547.0,0.0,69361.0,0.21081010942748807,0.0833,0.20921,136683091.0,28595469.0,33407928.0,16502907.0,20279358.0,1.0,Georgia,0.29411010942748805
8,364045,06/30/2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ohio,0.0
10,340017,06/30/2017,377.0,3157.0,0.0,23480.0,0.15051107325383306,0.0617,0.295022,0.0,0.0,3033453.0,885662.0,9521704.0,1.0,North Carolina,0.21221107325383307
12,50327,06/30/2017,12868.0,6982.0,0.0,55373.0,0.35847795857186715,0.1476,0.163427,812296373.0,132751159.0,10538611.0,2119353.0,47281658.0,1.0,California,0.5060779585718671
14,660001,09/30/2017,255.0,3351.0,0.0,16375.0,0.22021374045801526,0.0,1728.42872,0.0,0.0,0.0,0.0,0.0,2.0,Commonwealth of the Northern Marianas Islands ,0.22021374045801526
15,60043,08/24/2017,0.0,24.0,0.0,234.0,0.10256410256410256,0.0335,0.85429,0.0,0.0,0.0,0.0,0.0,2.0,Colorado,0.13606410256410256
16,131315,09/30/2017,0.0,148.0,5.0,1632.0,0.09375,0.0,0.717814,1708718.0,1226542.0,482424.0,264762.0,999759.0,2.0,Idaho,0.09375
17,281339,09/30/2017,43.0,14.0,5.0,2689.0,0.023056898475269618,0.0,0.730126,1734992.0,1266763.0,129124.0,91490.0,665894.0,2.0,Nebraska,0.023056898475269618
