,PRVDR_NUM,FY_END_DT,HMO,TOT_HOSP,LAB_DEL_DAYS,TOT_HOSP,MED_UTIL,SSI_PER,CST_TO_CHG,MED_CHG,MED_CST,CHAR_CHG,CHAR_CST,TOT_UNR_UNC,URBAN_RURAL,STATES,DSH_PAT_PER
0,454129,12/31/2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Texas,0.0
2,511312,06/30/2015,11.0,219.0,0.0,1885.0,0.1220159151193634,0.0,0.561244,6603634.0,3706250.0,138471.0,77642.0,1186789.0,2.0,West Virginia,0.1220159151193634
4,251313,08/31/2015,0.0,294.0,0.0,4212.0,0.0698005698005698,0.0,0.497123,4062793.0,2019708.0,99222.0,46473.0,4076912.0,2.0,Mississippi,0.0698005698005698
6,660001,09/30/2015,0.0,0.0,0.0,17399.0,0.0,0.0,1651.973444,0.0,0.0,0.0,0.0,0.0,2.0,Commonwealth of the Northern Marianas Islands ,0.0
7,471301,09/30/2015,0.0,1100.0,28.0,7087.0,0.15916466770142515,0.0,0.416691,17490330.0,7288063.0,2406294.0,992296.0,4005827.0,2.0,Vermont,0.15916466770142515
8,371312,09/30/2015,0.0,416.0,0.0,4955.0,0.08395560040363269,0.0,0.345039,10705068.0,3693666.0,9171971.0,3164688.0,3569769.0,1.0,Oklahoma,0.08395560040363269
9,41327,09/30/2015,0.0,329.0,0.0,3046.0,0.10801050558108996,0.0,0.466258,4896570.0,2283065.0,618349.0,288310.0,1175655.0,2.0,Arkansas,0.10801050558108996
10,341317,09/30/2015,92.0,18.0,0.0,5636.0,0.019517388218594747,0.0,0.570232,0.0,0.0,0.0,0.0,-37947.0,1.0,North Carolina,0.019517388218594747
11,421303,09/30/2015,401.0,196.0,0.0,5851.0,0.10203384036916767,0.0,0.360743,8152628.0,2941003.0,532542.0,192111.0,1429111.0,2.0,South Carolina,0.10203384036916767
12,421302,09/30/2015,32.0,11.0,0.0,1235.0,0.034817813765182185,0.0,0.608717,419734.0,255499.0,955371.0,261174.0,2075142.0,1.0,South Carolina,0.034817813765182185
13,251334,09/30/2015,0.0,46.0,0.0,2681.0,0.017157776948899663,0.0,0.900875,367174.0,330778.0,0.0,0.0,2075099.0,2.0,Mississippi,0.017157776948899663
14,511306,09/30/2015,8.0,101.0,0.0,3172.0,0.034363177805800754,0.0,0.489311,11564570.0,5658671.0,346647.0,169618.0,616361.0,2.0,West Virginia,0.034363177805800754
15,514011,09/30/2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,West Virginia,0.0
16,341303,09/30/2015,0.0,87.0,0.0,1626.0,0.05350553505535055,0.0,0.336691,6464909.0,2176677.0,2039948.0,570305.0,2357332.0,2.0,North Carolina,0.05350553505535055
17,341319,09/30/2015,0.0,689.0,0.0,5643.0,0.12209817472975368,0.0,0.342275,20955862.0,7172668.0,5986287.0,2048956.0,6098815.0,2.0,North Carolina,0.12209817472975368
18,341329,09/30/2015,0.0,833.0,0.0,3700.0,0.22513513513513514,0.0,0.351735,11834722.0,4162686.0,2505585.0,881302.0,3384618.0,2.0,North Carolina,0.22513513513513514
19,341326,09/30/2015,0.0,1521.0,196.0,6984.0,0.24584765177548681,0.0,0.313562,23081326.0,7237427.0,6071621.0,1903830.0,3686717.0,2.0,North Carolina,0.24584765177548681
20,111326,09/30/2015,0.0,53.0,0.0,3854.0,0.013751946030098598,0.0,0.672294,2367192.0,1591449.0,60774.0,38511.0,1507194.0,2.0,Georgia,0.013751946030098598
21,341320,09/30/2015,0.0,95.0,0.0,2140.0,0.04439252336448598,0.0,0.469393,2495913.0,1171564.0,86201.0,40462.0,853714.0,2.0,North Carolina,0.04439252336448598
22,341318,09/30/2015,0.0,1124.0,375.0,4786.0,0.31320518178019224,0.0,0.365698,20008260.0,7316981.0,12755370.0,3214470.0,6088469.0,2.0,North Carolina,0.31320518178019224
23,341315,09/30/2015,0.0,1035.0,0.0,3705.0,0.2793522267206478,0.0,0.329126,0.0,0.0,0.0,0.0,-54534.0,2.0,North Carolina,0.2793522267206478
24,341304,09/30/2015,0.0,95.0,0.0,1424.0,0.06671348314606741,0.0,0.461003,4710518.0,2171563.0,3767681.0,1304808.0,2371362.0,2.0,North Carolina,0.06671348314606741
25,201308,09/30/2015,0.0,795.0,0.0,7137.0,0.11139134089953762,0.0,0.545487,11022885.0,6012840.0,585228.0,318374.0,1113383.0,2.0,Maine,0.11139134089953762
26,424003,12/16/2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,South Carolina,0.0
27,271326,06/30/2015,0.0,15.0,0.0,724.0,0.020718232044198894,0.0,0.720853,464809.0,335059.0,498256.0,347323.0,667750.0,2.0,Montana,0.020718232044198894
29,234025,09/30/2015,0.0,4138.0,0.0,52912.0,0.07820532204414878,0.0,1.028371,0.0,0.0,0.0,0.0,-18760.0,2.0,Michigan,0.07820532204414878
30,414003,09/30/2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rhode Island,0.0
31,154060,06/30/2015,0.0,0.0,0.0,777.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Indiana,0.0
33,34031,05/31/2015,0.0,0.0,0.0,3612.0,0.0,0.0,0.398683,0.0,0.0,0.0,0.0,0.0,1.0,Arizona,0.0
35,234041,09/30/2015,0.0,2745.0,0.0,80587.0,0.034062565922543336,0.0,2.972831,0.0,0.0,0.0,0.0,-65108.0,1.0,Michigan,0.034062565922543336
36,111334,12/31/2015,11.0,251.0,0.0,4806.0,0.05451518934665002,0.0,0.24571,8180301.0,2009982.0,786155.0,0.0,1697808.0,2.0,Georgia,0.05451518934665002
37,363304,12/31/2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ohio,0.0
38,344028,12/31/2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North Carolina,0.0
39,344030,12/31/2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North Carolina,0.0
40,263304,12/31/2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Missouri,0.0
41,420016,12/31/2015,72.0,46.0,0.0,1270.0,0.09291338582677165,0.0921,0.541013,4900910.0,2651456.0,173373.0,93524.0,3399950.0,2.0,South Carolina,0.18501338582677165
42,251302,12/31/2015,0.0,74.0,0.0,5248.0,0.014100609756097561,0.0,0.590412,4688622.0,2768219.0,207657.0,122603.0,1912352.0,2.0,Mississippi,0.014100609756097561
43,511303,12/31/2015,23.0,63.0,0.0,1486.0,0.05787348586810229,0.0,0.738837,6466769.0,4777888.0,924346.0,681841.0,1880707.0,2.0,West Virginia,0.05787348586810229
44,244016,12/31/2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Minnesota,0.0
45,451370,12/31/2015,0.0,8.0,0.0,3489.0,0.002292920607623961,0.0,0.368615,3468089.0,1278390.0,87724.0,32336.0,3416945.0,2.0,Texas,0.002292920607623961
46,304001,12/31/2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New Hampshire,0.0
47,423300,12/31/2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,South Carolina,0.0
48,511300,12/31/2015,0.0,21.0,0.0,2305.0,0.00911062906724512,0.0,0.755665,7536344.0,5694951.0,989653.0,261953.0,1445343.0,2.0,West Virginia,0.00911062906724512
49,511315,12/31/2015,0.0,203.0,0.0,2455.0,0.08268839103869653,0.0,0.579699,4481229.0,2597764.0,219110.0,127018.0,1563756.0,2.0,West Virginia,0.08268839103869653
50,251332,12/31/2015,29.0,359.0,0.0,2819.0,0.1376374600922313,0.0,0.582415,3872524.0,2255416.0,110732.0,64492.0,17568.0,2.0,Mississippi,0.1376374600922313
51,201311,12/31/2015,0.0,605.0,0.0,3921.0,0.15429737311910227,0.0,0.459849,9131810.0,4199254.0,1880930.0,864944.0,2158473.0,2.0,Maine,0.15429737311910227
52,453311,12/31/2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Texas,0.0
53,13300,12/31/2015,0.0,59132.0,0.0,89734.0,0.6589698442062094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Alabama,0.6589698442062094
54,241316,12/31/2015,47.0,13.0,0.0,1147.0,0.05231037489102005,0.0,0.709494,595200.0,422291.0,484.0,343.0,135287.0,2.0,Minnesota,0.05231037489102005
55,52055,12/31/2015,0.0,29.0,0.0,31241.0,0.0009282673409942064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,California,0.0009282673409942064
56,491306,12/31/2015,69.0,10.0,0.0,3696.0,0.021374458874458876,0.0,0.557987,2677456.0,1493986.0,379304.0,211647.0,1888532.0,2.0,Virginia,0.021374458874458876
57,341325,12/31/2015,0.0,537.0,29.0,5012.0,0.11292897047086992,0.0,0.413055,6734470.0,2781707.0,1128489.0,337281.0,2640385.0,2.0,North Carolina,0.11292897047086992
58,264029,04/07/2015,188.0,568.0,0.0,1968.0,0.38414634146341464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Missouri,0.38414634146341464
59,374017,12/31/2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Oklahoma,0.0
60,363308,12/31/2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ohio,0.0
61,441308,06/30/2015,0.0,192.0,0.0,1824.0,0.10526315789473684,0.0,0.363854,3012355.0,1096057.0,22633.0,8235.0,379410.0,2.0,Tennessee,0.10526315789473684
62,223303,12/31/2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Massachusetts,0.0
63,223304,12/31/2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Massachusetts,0.0
64,183300,12/31/2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kentucky,0.0
65,104073,10/31/2015,0.0,0.0,0.0,25856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Florida,0.0
66,453308,09/19/2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Texas,0.0
68,103303,12/31/2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Florida,0.0
69,364045,06/30/2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ohio,0.0
71,12010,12/31/2014,0.0,0.0,0.0,2103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Alabama,0.0
74,333301,12/31/2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New York,0.0
75,111333,09/30/2015,75.0,246.0,0.0,2619.0,0.12256586483390607,0.0,0.376883,3901467.0,1470397.0,1350328.0,507354.0,1602540.0,2.0,Georgia,0.12256586483390607
76,104008,09/30/2015,1160.0,0.0,0.0,12013.0,0.09656205777074836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Florida,0.09656205777074836
77,152027,10/31/2015,148.0,0.0,0.0,6783.0,0.02181925401739643,0.0,0.440717,0.0,0.0,0.0,0.0,-54247.0,1.0,Indiana,0.02181925401739643
78,453312,12/31/2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Texas,0.0
79,143302,12/31/2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Illinois,0.0
80,243303,12/31/2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Minnesota,0.0
81,453316,12/31/2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Texas,0.0
82,134011,04/09/2015,0.0,162.0,0.0,1033.0,0.15682478218780252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Idaho,0.15682478218780252
83,132001,09/30/2015,0.0,960.0,0.0,10755.0,0.08926080892608089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Idaho,0.08926080892608089
84,232020,09/30/2015,43.0,78.0,0.0,7641.0,0.0158356236094752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Michigan,0.0158356236094752
85,34004,12/31/2015,0.0,13905.0,0.0,28957.0,0.48019477155782714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Arizona,0.48019477155782714
86,162003,12/31/2015,0.0,0.0,0.0,6655.0,0.0,0.0,0.315495,0.0,0.0,0.0,0.0,-3850.0,1.0,Iowa,0.0
87,281310,12/31/2015,0.0,30.0,0.0,159.0,0.18867924528301888,0.0,0.936692,728278.0,682172.0,72767.0,63013.0,549197.0,2.0,Nebraska,0.18867924528301888
88,334065,03/31/2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New York,0.0
90,362023,10/31/2015,419.0,510.0,0.0,10030.0,0.09262213359920239,0.0,0.200507,0.0,0.0,0.0,0.0,-15489.0,1.0,Ohio,0.09262213359920239
91,494021,06/30/2015,0.0,0.0,0.0,20627.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Virginia,0.0
