,PRVDR_NUM,FY_END_DT,HMO,TOT_HOSP,LAB_DEL_DAYS,TOT_HOSP,MED_UTIL,SSI_PER,CST_TO_CHG,MED_CHG,MED_CST,CHAR_CHG,CHAR_CST,TOT_UNR_UNC,URBAN_RURAL,STATES,DSH_PAT_PER
0,330409,12/31/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New York,0.0
2,150178,03/23/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Indiana,0.0
3,424013,06/30/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,South Carolina,0.0
5,154056,06/30/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Indiana,0.0
7,10171,05/30/2012,0.0,15.0,0.0,288.0,0.052083333333333336,0.0,0.677524,0.0,0.0,370885.0,251283.0,251283.0,2.0,Alabama,0.052083333333333336
8,110111,06/30/2012,24.0,87.0,0.0,1454.0,0.07634112792297111,0.1375,0.445754,1722868.0,767975.0,2080246.0,927278.0,2492399.0,1.0,Georgia,0.2138411279229711
10,264028,06/30/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Missouri,0.0
12,182004,08/31/2012,0.0,0.0,0.0,2680.0,0.0,0.0,0.306722,0.0,0.0,0.0,0.0,0.0,1.0,Kentucky,0.0
14,111326,09/30/2012,0.0,69.0,0.0,2687.0,0.025679196129512468,0.0,0.700889,877631.0,615122.0,1106991.0,765091.0,2444249.0,2.0,Georgia,0.025679196129512468
15,10095,09/30/2012,0.0,266.0,0.0,2066.0,0.1287512100677638,0.1787,0.523923,3326446.0,1742802.0,113919.0,59685.0,1663572.0,1.0,Alabama,0.30745121006776377
16,511306,09/30/2012,20.0,85.0,0.0,2874.0,0.03653444676409186,0.0,0.501833,6619357.0,3321812.0,2010335.0,1008852.0,2288755.0,2.0,West Virginia,0.03653444676409186
17,660001,09/30/2012,0.0,0.0,0.0,15152.0,0.0,0.0,1295.92144,0.0,0.0,0.0,0.0,0.0,2.0,Commonwealth of the Northern Marianas Islands ,0.0
18,10018,09/30/2012,0.0,16.0,0.0,117.0,0.13675213675213677,0.0,0.25712,3919454.0,1007770.0,2235166.0,438745.0,754716.0,1.0,Alabama,0.13675213675213677
19,10034,09/30/2012,0.0,689.0,0.0,6326.0,0.10891558646854252,0.1065,0.415596,4375704.0,1818525.0,1086416.0,451510.0,2124298.0,1.0,Alabama,0.21541558646854253
20,10169,09/30/2012,4.0,508.0,0.0,6097.0,0.08397572576677054,0.1582,0.189327,9269061.0,1754884.0,1225067.0,231938.0,1690390.0,2.0,Alabama,0.24217572576677054
21,14009,09/30/2012,0.0,0.0,0.0,28001.0,0.0,0.0,1.181367,0.0,0.0,0.0,0.0,-129584.0,1.0,Alabama,0.0
22,111313,09/30/2012,18.0,158.0,0.0,2381.0,0.07391852162956741,0.0,0.484878,1596122.0,773924.0,909509.0,436722.0,1569123.0,2.0,Georgia,0.07391852162956741
23,440016,09/30/2012,128.0,0.0,0.0,2946.0,0.04344874405974202,0.0,0.39052,6365045.0,2485677.0,527535.0,195582.0,1952639.0,2.0,Tennessee,0.04344874405974202
24,30067,09/30/2012,0.0,233.0,0.0,2122.0,0.10980207351555137,0.0314,0.332484,11668300.0,3879523.0,1761763.0,585758.0,2767456.0,2.0,Arizona,0.14120207351555136
25,31311,09/30/2012,0.0,1426.0,17.0,3644.0,0.395993413830955,0.0,0.228701,28258802.0,6462816.0,1053520.0,240941.0,1472010.0,2.0,Arizona,0.395993413830955
26,14012,09/30/2012,0.0,0.0,0.0,35707.0,0.0,0.0,0.892429,0.0,0.0,0.0,0.0,-109103.0,1.0,Alabama,0.0
27,441315,09/30/2012,0.0,307.0,0.0,4341.0,0.07072103202027183,0.0,0.268544,3938600.0,1057687.0,149499.0,40147.0,331712.0,2.0,Tennessee,0.07072103202027183
28,110150,09/30/2012,1972.0,1794.0,0.0,18207.0,0.20684352172241446,0.0894,0.32846,9308783.0,3057563.0,5477751.0,1799222.0,4451594.0,2.0,Georgia,0.29624352172241447
29,111332,09/30/2012,6.0,102.0,0.0,5852.0,0.01845522898154477,0.0,0.420023,3184051.0,1337375.0,3388936.0,1416014.0,2137737.0,2.0,Georgia,0.01845522898154477
30,11300,09/30/2012,0.0,56.0,0.0,1816.0,0.030837004405286344,0.0,0.726949,763699.0,555170.0,33439.0,24308.0,85130.0,2.0,Alabama,0.030837004405286344
31,110121,09/30/2012,245.0,366.0,0.0,5720.0,0.10681818181818181,0.1668,0.360221,7217050.0,2599733.0,1978745.0,695241.0,3580415.0,2.0,Georgia,0.2736181818181818
32,310120,09/29/2012,0.0,0.0,0.0,537.0,0.0,0.0,0.388619,1034194.0,401907.0,907660.0,352604.0,591257.0,1.0,New Jersey,0.0
33,320061,09/30/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New Mexico,0.0
34,370172,09/30/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Oklahoma,0.0
35,20018,09/30/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alaska,0.0
36,30073,09/30/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arizona,0.0
37,30078,09/30/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arizona,0.0
38,240206,09/30/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Minnesota,0.0
39,270074,09/30/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Montana,0.0
40,320057,09/30/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New Mexico,0.0
41,320058,09/30/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New Mexico,0.0
42,320060,09/30/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New Mexico,0.0
43,320062,09/30/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New Mexico,0.0
44,320070,09/30/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New Mexico,0.0
45,350064,09/30/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North Dakota,0.0
46,30113,09/30/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arizona,0.0
47,280119,09/30/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nebraska,0.0
48,350063,09/30/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North Dakota,0.0
